this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL3ID = 339,NDD - Central America & Caribbean,NDD - Amérique centrale & Caraïbes,LEVEL3ID = 339,NDD - Central America & Caribbean,NDD - Amérique centrale & Caraïbes
LEVEL2ID = 216,OGM - Asia Pacific,OGM - Asie-Pacifique,LEVEL2ID = 215,OGM - Asia Pacific,OGM - Asie-Pacifique
LEVEL2ID = 217,PFM - Strategic Policy,PFM - Politiques stratégiques,LEVEL2ID = 216,PFM - Strategic Policy,PFM - Politiques stratégiques
LEVEL2ID = 218,"SCM - Corporate Planning, Finance and Information Technology","SCM - Planification ministérielle, finance et technologie de l'information",LEVEL2ID = 217,"SCM - Corporate Planning, Finance and Information Technology","SCM - Planification ministérielle, finance et technologie de l'information"
LEVEL3ID = 345,SWD - Financial Planning and Management,SWD - Gestion et planification financière,LEVEL3ID = 346,SWD - Financial Planning and Management,SWD - Gestion et planification financière
LEVEL3ID = 346,SMD - Financial Operations,SMD - Opérations financières,LEVEL3ID = 347,SMD - Financial Operations,SMD - Opérations financières
LEVEL3ID = 347,SGD - Grants and Contributions Management,SGD - Gestion des subventions et contributions,LEVEL3ID = 348,SGD - Grants and Contributions Management,SGD - Gestion des subventions et contributions
LEVEL2ID = 221,XDD - Office of Protocol,XDD - Bureau du Protocole,LEVEL2ID = 220,XDD - Office of Protocol,XDD - Bureau du Protocole
LEVEL2ID = 999,I cannot find my organizational unit,Je ne peux pas trouver mon unité organisationnelle,LEVEL2ID = 999,I cannot find my organizational unit,Je ne peux pas trouver mon unité organisationnelle
LEVEL3ID = 300,"ACM - ADM Office / ABD - Platform Planning, Engagement and Results / ACME - Major Projects - Tokyo / AFD - Client Relations and Mission Operations","ACM - Bureau du SMA / ABD - Planification, mobilisation et résultats de la plateforme / ACME - Projets majeurs - Tokyo / AFD - Relations avec les clients et opérations des missions",LEVEL3ID = 300,ACM ADM Office / AFD - Client Relations and Mission Operations / ACMT - International Platform Transformation,Bureau du SMA ACM / AFD - Relations avec les clients et opérations des missions / ACMT - Transformation de la Plateforme Internationale
LEVEL3ID = 301,AAD - Platform Corporate Services,AAD - Services ministériels de la plateforme,LEVEL3ID = 301,AAD - Platform Corporate Services,AAD - Services ministériels de la Plateforme
LEVEL3ID = 302,"AWD - Delivery, Professional & Technical Services","AWD - Livraison, services professionnels et techniques",LEVEL3ID = 302,"AWD - Project Delivery, Professional and Technical Services","AWD - Réalisation des projets, services professionnels et techniques"
LEVEL3ID = 303,ARD - Strategic Planning and Stewardship,ARD - Planification stratégique et de l'intendance,LEVEL3ID = 303,ARD - Planning and Stewardship,ARD - Planification et intendance
LEVEL2ID = 201,BFM - International Business Investment and Innovation,"BFM - Développement du commerce international, investissement et innovation",LEVEL2ID = 201,BFM - International Business Development and Chief Trade Commissioner,BFM - Développement du commerce international et Déléguée commerciale en chef
LEVEL3ID = 304,"BFM - ADM Office / BED - Trade Analysis / BID - Investment, Innovation and Education / BPD - Trade Portfolio Strategy and Coordination","BFM - Bureau du SMA / BED - Analyse du commerce / BID - Investissement, innovation et éducation / BPD - Stratégie et coordination du portefeuille commercial",LEVEL3ID = 304,BFM ADM Office / BFMX - Free Trade Agreement Promotion Task Force / BPD - Trade Portfolio Strategy and Coordination / BED - Trade Analysis / BID - Investment and Innovation,Bureau du SMA BFM / BFMX - Groupe de travail sur la promotion des Accords de libre échange / BPD - Stratégie et coordination du portefeuille commercial / BED - Analyse du commerce / BID - Investissement et innovation
